date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:33:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Apr%202023%2010:54:59%20GMT	http://www.autbank.com.br/wp-json/oembed/1.0/embed100c?url=%2Fwordpress%2Fsolucoes%2Fspb-e-financeiros%2F&format=xml	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-json/oembed/1.0/embed100c.102100c.delayed	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:33:26	131468/131468	---M--	200	added ('OK')	image/jpeg	etag:%220393adc8a6ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-canais-contadigital.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-canais-contadigital.jpg	(from http://www.autbank.com.br/solucoes/canais-de-atendimento/index.html)
08:33:32	116861/116861	---M--	200	added ('OK')	image/jpeg	etag:%220c0cddf8a6ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-canais-mobilebank.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-canais-mobilebank.jpg	(from http://www.autbank.com.br/solucoes/canais-de-atendimento/index.html)
08:33:34	126819/126819	---M--	200	added ('OK')	image/jpeg	etag:%220666bdd8a6ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-canais-internetbanking.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-canais-internetbanking.jpg	(from http://www.autbank.com.br/solucoes/canais-de-atendimento/index.html)
08:33:36	80044/80044	---M--	200	added ('OK')	image/jpeg	etag:%22095e15d926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:33:45	115106/115106	---M--	200	added ('OK')	image/jpeg	etag:%220c2125f926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb-contaspagar.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb-contaspagar.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:33:53	128812/128812	---M--	200	added ('OK')	image/jpeg	etag:%220fd6a67926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb-tesouraria.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb-tesouraria.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:33:54	118871/118871	---M--	200	added ('OK')	image/jpeg	etag:%2201c7561926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb-gestaocaixa.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb-gestaocaixa.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:33:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Apr%202023%2011:33:54%20GMT	https://www.googletagmanager.com/gtm.js	C:/Users/user/Documents/clone-autbank/www.googletagmanager.com/gtm.10a.delayed	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:33:56	127225/127225	---M--	200	added ('OK')	image/jpeg	etag:%220d03966926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb-pilotoreserva.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb-pilotoreserva.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
